word_a	word_b	dist	ipa_a	ipa_b	freq_a	freq_b
र	रौँ	0.0417	ɾə	ɾɔ̃	6050	14
रु	रू	0.0208	ɾu	ɾuː	34	3
रे	री	0.0208	ɾeː	ɾiː	26	2
छ	६	0.0000	cʰə	cʰə	5995	191
छ	छौँ	0.0417	cʰə	cʰɔ̃	5995	92
छ	छ?	0.0000	cʰə	cʰə	5995	2
छ	छौ	0.0417	cʰə	cʰɔː	5995	2
छ	छि	0.0417	cʰə	cʰɪ	5995	1
६	छ?	0.0000	cʰə	cʰə	191	2
६	छि	0.0417	cʰə	cʰɪ	191	1
छौँ	छ?	0.0417	cʰɔ̃	cʰə	92	2
छौँ	छौ	0.0417	cʰɔ̃	cʰɔː	92	2
छे	छो	0.0417	cʰeː	cʰoː	4	2
छ?	छौ	0.0417	cʰə	cʰɔː	2	2
छ?	छि	0.0417	cʰə	cʰɪ	2	1
छो	छौ	0.0208	cʰoː	cʰɔː	2	2
पनि	पानी	0.0312	pʌnɪ	paːni	4944	204
पनि	पति	0.0312	pʌnɪ	pʌtɪ	4944	9
पनि	परि	0.0365	pʌnɪ	pʌɾɪ	4944	6
पछि	पटि	0.0365	pʌcʰɪ	pʌʈɪ	509	5
पछि	पुछ	0.0521	pʌcʰɪ	pucʰə	509	4
पछि	पटी	0.0469	pʌcʰɪ	pʌʈi	509	2
पछि	पढि	0.0365	pʌcʰɪ	pʌɖʰɪ	509	1
पूजा	पुगे	0.0417	puːɟaː	puɡeː	211	65
पूजा	पोका	0.0417	puːɟaː	poːkaː	211	2
पूजा	पुजा	0.0104	puːɟaː	puɟaː	211	1
पानी	पारी	0.0365	paːni	paːɾi	204	30
पानी	पाली	0.0312	paːni	paːli	204	1
पानी	पोमी	0.0469	paːni	poːmi	204	1
पिता	पिठो	0.0417	pɪtaː	pɪʈʰoː	100	8
पिता	पता	0.0312	pɪtaː	pʌtaː	100	2
पिता	पिटे	0.0312	pɪtaː	pɪʈeː	100	1
पिता	पिडा	0.0208	pɪtaː	pɪɖaː	100	1
पुरा	पूरा	0.0104	puɾaː	puːɾaː	90	64
पुरा	पुरै	0.0312	puɾaː	puɾɛː	90	30
पुरा	पूरै	0.0417	puɾaː	puːɾɛː	90	15
पुरा	पुना	0.0365	puɾaː	punaː	90	1
पाउन	पाइन	0.0208	paːʊn	paːɪn	70	8
पाउन	पिउन	0.0521	paːʊn	pɪʊn	70	7
पाउन	पाइड	0.0521	paːʊn	paːɪɖ	70	2
पाउन	पाउल	0.0312	paːʊn	paːʊl	70	1
पुगे	पुगी	0.0208	puɡeː	puɡi	65	11
पुगे	पुँजी	0.0312	puɡeː	pũɟiː	65	7
पुगे	पिके	0.0521	puɡeː	pɪkeː	65	2
पुगे	पुँगी	0.0208	puɡeː	pũɡiː	65	2
पुगे	पुजा	0.0312	puɡeː	puɟaː	65	1
पूरा	पूरै	0.0312	puːɾaː	puːɾɛː	64	15
पूरा	पारा	0.0417	puːɾaː	paːɾaː	64	2
पैसा	पैदा	0.0312	pɛːsaː	pɛːdaː	47	21
पैसा	पेशा	0.0312	pɛːsaː	peːʃaː	47	5
पैसा	पेसा	0.0104	pɛːsaː	peːsaː	47	5
पार	पर	0.0104	paːɾə	paɾə	44	27
पार	पारा	0.0312	paːɾə	paːɾaː	44	2
पार	पारौँ	0.0208	paːɾə	paːɾɔ̃	44	2
पार	पारि	0.0208	paːɾə	paːɾɪ	44	1
परे	परी	0.0208	pʌɾeː	pʌɾi	40	17
परे	पारे	0.0208	pʌɾeː	paːɾeː	40	16
परे	पिरे	0.0312	pʌɾeː	pɪɾeː	40	3
परे	परेँ	0.0208	pʌɾeː	pʌɾẽ	40	2
प्रेस	प्रेत	0.0208	pɾeːs	pɾeːt	39	5
प्रेस	प्रात	0.0417	pɾeːs	pɾaːt	39	3
प्रेस	प्लस	0.0469	pɾeːs	plʌs	39	3
प्रेस	प्लेस	0.0260	pɾeːs	pleːs	39	3
पारी	परी	0.0208	paːɾi	pʌɾi	30	17
पारी	पारे	0.0208	paːɾi	paːɾeː	30	16
पारी	पारि	0.0104	paːɾi	paːɾɪ	30	1
पारी	पाली	0.0260	paːɾi	paːli	30	1
पारी	पेरु	0.0521	paːɾi	peːɾu	30	1
पारी	पौरी	0.0312	paːɾi	pɔːɾi	30	1
पुरै	पूरै	0.0104	puɾɛː	puːɾɛː	30	15
पुरै	पुरी	0.0312	puɾɛː	puɾi	30	5
पर	परि	0.0312	paɾə	pʌɾɪ	27	6
पर	पिर	0.0417	paɾə	pɪɾə	27	5
पर	परौँ	0.0312	paɾə	pʌɾɔ̃	27	2
पर	पारौँ	0.0312	paɾə	paːɾɔ̃	27	2
पीडा	पैदा	0.0208	pɪːɖaː	pɛːdaː	25	21
पीडा	पीला	0.0417	pɪːɖaː	pɪːlaː	25	2
पीडा	पिडा	0.0104	pɪːɖaː	pɪɖaː	25	1
पीडा	पेडा	0.0208	pɪːɖaː	peːɖaː	25	1
पेले	पालो	0.0417	peːleː	paːloː	24	9
पेले	पोलो	0.0417	peːleː	poːloː	24	4
पेले	पीला	0.0417	peːleː	pɪːlaː	24	2
पेले	पाली	0.0417	peːleː	paːli	24	1
पेले	पालै	0.0312	peːleː	paːlɛː	24	1
पाटी	पापी	0.0365	paːʈi	paːpi	21	7
पाटी	पाटे	0.0208	paːʈi	paːʈeː	21	6
पाटी	पाठी	0.0104	paːʈi	paːʈʰi	21	3
पाटी	पटी	0.0208	paːʈi	pʌʈi	21	2
पाटी	पेटी	0.0208	paːʈi	peːʈi	21	1
पेय	पायो	0.0521	peːjə	paːjoː	21	18
पेय	पाव	0.0521	peːjə	paːwə	21	3
पेय	पय	0.0208	peːjə	pʌjə	21	1
पेय	पायौँ	0.0417	peːjə	paːjɔ̃	21	1
पैदा	पौभा	0.0573	pɛːdaː	pɔːbʰaː	21	2
पैदा	पिडा	0.0312	pɛːdaː	pɪɖaː	21	1
पैदा	पेडा	0.0208	pɛːdaː	peːɖaː	21	1
पुमा	पुजा	0.0521	pumaː	puɟaː	19	1
पुमा	पुना	0.0260	pumaː	punaː	19	1
पुमा	पूमा	0.0104	pumaː	puːmaː	19	1
पायो	पाइए	0.0417	paːjoː	paːɪeː	18	3
पायो	पोया	0.0417	paːjoː	poːjaː	18	2
पायो	पय	0.0521	paːjoː	pʌjə	18	1
पायो	पायौँ	0.0312	paːjoː	paːjɔ̃	18	1
पौडी	पटी	0.0417	pɔːɖi	pʌʈi	18	2
पौडी	पोडे	0.0312	pɔːɖi	poːɖeː	18	1
पौडी	पौँदी	0.0417	pɔːɖi	pɔ̃diː	18	1
पौडी	पौदी	0.0104	pɔːɖi	pɔːdi	18	1
परी	परि	0.0104	pʌɾi	pʌɾɪ	17	6
परी	पुरी	0.0312	pʌɾi	puɾi	17	5
परी	परेँ	0.0208	pʌɾi	pʌɾẽ	17	2
परी	पेरु	0.0521	pʌɾi	peːɾu	17	1
परी	पौरी	0.0312	pʌɾi	pɔːɾi	17	1
पारे	पारा	0.0208	paːɾeː	paːɾaː	16	2
पारे	पारो	0.0208	paːɾeː	paːɾoː	16	2
पढे	पढेँ	0.0208	pʌɖʰeː	pʌɖʰẽ	15	7
पढे	पाँडे	0.0312	pʌɖʰeː	pãɖeː	15	3
पढे	पढि	0.0312	pʌɖʰeː	pʌɖʰɪ	15	1
पढे	पढी	0.0208	pʌɖʰeː	pʌɖʰi	15	1
पढे	पेठे	0.0312	pʌɖʰeː	peːʈʰeː	15	1
पढे	पोडे	0.0312	pʌɖʰeː	poːɖeː	15	1
पोथी	पोते	0.0312	poːtʰi	poːteː	15	13
पोथी	पाठी	0.0312	poːtʰi	paːʈʰi	15	3
पोथी	पौदी	0.0312	poːtʰi	pɔːdi	15	1
पाखा	पाछा	0.0104	paːkʰaː	paːcʰaː	14	5
पाखा	पाके	0.0312	paːkʰaː	paːkeː	14	2
पाखा	पाखो	0.0208	paːkʰaː	paːkʰoː	14	2
पाखा	पोका	0.0312	paːkʰaː	poːkaː	14	2
पाखा	पाका	0.0104	paːkʰaː	paːkaː	14	1
पौवा	पुवा	0.0417	pɔːwaː	puwaː	14	7
पौवा	पोया	0.0417	pɔːwaː	poːjaː	14	2
पोते	पोतो	0.0208	poːteː	poːtoː	13	7
पोते	पाटे	0.0312	poːteː	paːʈeː	13	6
पोते	पौने	0.0417	poːteː	pɔːneː	13	4
पोते	पौषे	0.0417	poːteː	pɔːʂeː	13	2
पोते	पोडे	0.0208	poːteː	poːɖeː	13	1
पाँचौँ	पाचौँ	0.0208	pãcɔ̃	paːcɔ̃	12	4
पाँचौँ	पाँगो	0.0521	pãcɔ̃	pãɡoː	12	3
पाँचौँ	पाँचौ	0.0208	pãcɔ̃	pãcɔː	12	1
पुगी	पुँजी	0.0312	puɡi	pũɟiː	11	7
पुगी	पूँजी	0.0312	puɡi	pũɟiː	11	6
पुगी	पुँगी	0.0208	puɡi	pũɡiː	11	2
प्राण	प्रात	0.0469	pɾaːɳ	pɾaːt	11	3
प्राण	प्रण	0.0208	pɾaːɳ	pɾʌɳ	11	2
प्राण	प्लान	0.0417	pɾaːɳ	plaːn	11	2
प्राण	प्राग	0.0521	pɾaːɳ	pɾaːɡ	11	1
पति	पटि	0.0104	pʌtɪ	pʌʈɪ	9	5
पति	पटी	0.0208	pʌtɪ	pʌʈi	9	2
पति	पढि	0.0312	pʌtɪ	pʌɖʰɪ	9	1
पालो	पोलो	0.0208	paːloː	poːloː	9	4
पालो	पारो	0.0260	paːloː	paːɾoː	9	2
पालो	पालै	0.0312	paːloː	paːlɛː	9	1
पोको	पाको	0.0208	poːkoː	paːkoː	9	2
पोको	पाखो	0.0312	poːkoː	paːkʰoː	9	2
पोको	पोका	0.0208	poːkoː	poːkaː	9	2
पोको	पोकु	0.0312	poːkoː	poːku	9	1
पाइन	पाइड	0.0312	paːɪn	paːɪɖ	8	2
पाइन	पाउल	0.0521	paːɪn	paːʊl	8	1
पिठो	पिछा	0.0469	pɪʈʰoː	pɪcʰaː	8	2
पिठो	पिटे	0.0312	pɪʈʰoː	pɪʈeː	8	1
पिठो	पिडा	0.0417	pɪʈʰoː	pɪɖaː	8	1
पढेँ	पढि	0.0312	pʌɖʰẽ	pʌɖʰɪ	7	1
पढेँ	पढी	0.0208	pʌɖʰẽ	pʌɖʰi	7	1
पापी	पाठी	0.0469	paːpi	paːʈʰi	7	3
पापी	पामे	0.0521	paːpi	paːmeː	7	3
पापी	पोमी	0.0521	paːpi	poːmi	7	1
पिउन	पिउठ	0.0521	pɪʊn	pɪʊʈʰ	7	1
पुँजी	पूँजी	0.0000	pũɟiː	pũɟiː	7	6
पुँजी	पुँगी	0.0104	pũɟiː	pũɡiː	7	2
पुँजी	पुजा	0.0417	pũɟiː	puɟaː	7	1
पोतो	पोलो	0.0417	poːtoː	poːloː	7	4
पोतो	पता	0.0417	poːtoː	pʌtaː	7	2
पोतो	पाटो	0.0312	poːtoː	paːʈoː	7	1
परि	परेँ	0.0312	pʌɾɪ	pʌɾẽ	6	2
परि	पारि	0.0208	pʌɾɪ	paːɾɪ	6	1
पाटे	पाँडे	0.0312	paːʈeː	pãɖeː	6	3
पाटे	पाडा	0.0312	paːʈeː	paːɖaː	6	2
पाटे	पौषे	0.0521	paːʈeː	pɔːʂeː	6	2
पाटे	पाटा	0.0208	paːʈeː	paːʈaː	6	1
पाटे	पाटो	0.0208	paːʈeː	paːʈoː	6	1
पाटे	पेठे	0.0312	paːʈeː	peːʈʰeː	6	1
पाटे	पोडे	0.0312	paːʈeː	poːɖeː	6	1
पुषा	पुसे	0.0312	puʂaː	puseː	6	3
पुषा	पुजा	0.0573	puʂaː	puɟaː	6	1
पुषा	पुथा	0.0417	puʂaː	putʰaː	6	1
पूँजी	पुँगी	0.0104	pũɟiː	pũɡiː	6	2
पेमा	पाना	0.0469	peːmaː	paːnaː	6	4
पेमा	पामे	0.0417	peːmaː	paːmeː	6	3
पेमा	पूमा	0.0417	peːmaː	puːmaː	6	1
पटि	पटी	0.0104	pʌʈɪ	pʌʈi	5	2
पटि	पढि	0.0208	pʌʈɪ	pʌɖʰɪ	5	1
पटि	पुटि	0.0312	pʌʈɪ	puʈɪ	5	1
पटि	पुटी	0.0417	pʌʈɪ	puʈi	5	1
पटि	पेटी	0.0312	pʌʈɪ	peːʈi	5	1
पाछा	पाखो	0.0312	paːcʰaː	paːkʰoː	5	2
पाछा	पाका	0.0208	paːcʰaː	paːkaː	5	1
पिर	पिरे	0.0312	pɪɾə	pɪɾeː	5	3
पिर	पिरो	0.0312	pɪɾə	pɪɾoː	5	2
पुरी	पुली	0.0260	puɾi	puli	5	1
पेशा	पेसा	0.0208	peːʃaː	peːsaː	5	5
पेशा	पेडा	0.0417	peːʃaː	peːɖaː	5	1
पेसा	पता	0.0417	peːsaː	pʌtaː	5	2
प्रेत	प्रात	0.0208	pɾeːt	pɾaːt	5	3
प्रेत	प्लेट	0.0365	pɾeːt	pleːʈ	5	2
प्रौढ	प्रोब	0.0573	pɾɔːɖʰ	pɾoːb	5	3
प्लेग	प्लेज	0.0104	pleːɡ	pleːɟ	5	3
प्लेग	प्लेट	0.0469	pleːɡ	pleːʈ	5	2
प्लेग	प्राग	0.0469	pleːɡ	pɾaːɡ	5	1
पाचौँ	पाको	0.0417	paːcɔ̃	paːkoː	4	2
पाचौँ	पाँचौ	0.0417	paːcɔ̃	pãcɔː	4	1
पाचौँ	पायौँ	0.0417	paːcɔ̃	paːjɔ̃	4	1
पाना	पामे	0.0469	paːnaː	paːmeː	4	3
पाना	पाडा	0.0312	paːnaː	paːɖaː	4	2
पाना	पारा	0.0365	paːnaː	paːɾaː	4	2
पाना	पाटा	0.0417	paːnaː	paːʈaː	4	1
पुछ	पुजा	0.0521	pucʰə	puɟaː	4	1
पुछ	पुटि	0.0573	pucʰə	puʈɪ	4	1
पौने	पिने	0.0417	pɔːneː	pɪneː	4	3
पौने	पोडे	0.0417	pɔːneː	poːɖeː	4	1
पाँगो	पाको	0.0312	pãɡoː	paːkoː	3	2
पाँगो	पाखो	0.0417	pãɡoː	paːkʰoː	3	2
पाँगो	पाँचौ	0.0312	pãɡoː	pãcɔː	3	1
पाँडे	पाडा	0.0417	pãɖeː	paːɖaː	3	2
पाँडे	पौँदी	0.0521	pãɖeː	pɔ̃diː	3	1
पाठी	पटी	0.0312	paːʈʰi	pʌʈi	3	2
पाठी	पढी	0.0312	paːʈʰi	pʌɖʰi	3	1
पामे	पोमी	0.0417	paːmeː	poːmi	3	1
पाव	पय	0.0521	paːwə	pʌjə	3	1
पाव	पायौँ	0.0521	paːwə	paːjɔ̃	3	1
पिटी	पटी	0.0312	pɪʈi	pʌʈi	3	2
पिटी	पिटे	0.0208	pɪʈi	pɪʈeː	3	1
पिटी	पेटी	0.0312	pɪʈi	peːʈi	3	1
पिने	पिरे	0.0365	pɪneː	pɪɾeː	3	3
पिने	पिटे	0.0417	pɪneː	pɪʈeː	3	1
पिरे	पिरो	0.0208	pɪɾeː	pɪɾoː	3	2
पिरे	पिलो	0.0469	pɪɾeː	pɪloː	3	2
पुसे	पुटी	0.0521	puseː	puʈi	3	1
पुसे	पुथा	0.0521	puseː	putʰaː	3	1
प्रात	प्रोब	0.0573	pɾaːt	pɾoːb	3	3
प्रात	प्लान	0.0573	pɾaːt	plaːn	3	2
प्रोब	प्रज	0.0521	pɾoːb	pɾʌɟ	3	1
प्लस	प्लेस	0.0208	plʌs	pleːs	3	3
प्लस	प्लेट	0.0521	plʌs	pleːʈ	3	2
प्लेज	प्लेट	0.0365	pleːɟ	pleːʈ	3	2
प्लेज	प्रज	0.0469	pleːɟ	pɾʌɟ	3	1
प्लेन	प्लेस	0.0521	pleːn	pleːs	3	3
प्लेन	प्लान	0.0208	pleːn	plaːn	3	2
प्लेन	प्लेट	0.0417	pleːn	pleːʈ	3	2
प्लेस	प्लेट	0.0312	pleːs	pleːʈ	3	2
पटी	पढि	0.0312	pʌʈi	pʌɖʰɪ	2	1
पटी	पढी	0.0208	pʌʈi	pʌɖʰi	2	1
पटी	पुटि	0.0417	pʌʈi	puʈɪ	2	1
पटी	पुटी	0.0312	pʌʈi	puʈi	2	1
पटी	पेटी	0.0208	pʌʈi	peːʈi	2	1
पता	पाडा	0.0417	pʌtaː	paːɖaː	2	2
पता	पाटा	0.0312	pʌtaː	paːʈaː	2	1
पता	पुथा	0.0417	pʌtaː	putʰaː	2	1
परेँ	परौँ	0.0312	pʌɾẽ	pʌɾɔ̃	2	2
परौँ	पारौँ	0.0208	pʌɾɔ̃	paːɾɔ̃	2	2
पाइड	पाईप	0.0573	paːɪɖ	paːɪːp	2	1
पाके	पाको	0.0208	paːkeː	paːkoː	2	2
पाके	पाका	0.0208	paːkeː	paːkaː	2	1
पाको	पाखो	0.0104	paːkoː	paːkʰoː	2	2
पाको	पाँचौ	0.0417	paːkoː	pãcɔː	2	1
पाको	पाका	0.0208	paːkoː	paːkaː	2	1
पाको	पोकु	0.0521	paːkoː	poːku	2	1
पाखो	पाका	0.0312	paːkʰoː	paːkaː	2	1
पाडा	पाटा	0.0104	paːɖaː	paːʈaː	2	1
पाडा	पाटो	0.0312	paːɖaː	paːʈoː	2	1
पाडा	पेडा	0.0208	paːɖaː	peːɖaː	2	1
पारा	पारो	0.0208	paːɾaː	paːɾoː	2	2
पारो	पेरु	0.0521	paːɾoː	peːɾu	2	1
पिके	पिछा	0.0417	pɪkeː	pɪcʰaː	2	2
पिके	पिटे	0.0365	pɪkeː	pɪʈeː	2	1
पिछा	पिडा	0.0469	pɪcʰaː	pɪɖaː	2	1
पिरो	पिलो	0.0260	pɪɾoː	pɪloː	2	2
पिलो	पीला	0.0312	pɪloː	pɪːlaː	2	2
पोका	पाका	0.0208	poːkaː	paːkaː	2	1
पोका	पोकु	0.0521	poːkaː	poːku	2	1
पोया	पय	0.0521	poːjaː	pʌjə	2	1
पौषे	पोडे	0.0417	pɔːʂeː	poːɖeː	2	1
प्रण	प्रज	0.0417	pɾʌɳ	pɾʌɟ	2	1
पढि	पढी	0.0104	pʌɖʰɪ	pʌɖʰi	1	1
पय	पायौँ	0.0417	pʌjə	paːjɔ̃	1	1
पाटा	पाटो	0.0208	paːʈaː	paːʈoː	1	1
पाली	पालै	0.0312	paːli	paːlɛː	1	1
पाली	पुली	0.0521	paːli	puli	1	1
पिटे	पिडा	0.0312	pɪʈeː	pɪɖaː	1	1
पुटि	पुटी	0.0104	puʈɪ	puʈi	1	1
पुटी	पुली	0.0521	puʈi	puli	1	1
पुथा	पुना	0.0417	putʰaː	punaː	1	1
पुना	पूमा	0.0365	punaː	puːmaː	1	1
पेटी	पेठे	0.0312	peːʈi	peːʈʰeː	1	1
पौँदी	पौदी	0.0312	pɔ̃diː	pɔːdi	1	1
पौदी	पौरी	0.0365	pɔːdi	pɔːɾi	1	1
प्रज	प्राग	0.0312	pɾʌɟ	pɾaːɡ	1	1
हो	हे	0.0417	hoː	heː	4672	34
हो	हौ	0.0208	hoː	hɔː	4672	12
हो	हो?	0.0000	hoː	hoː	4672	2
हुँ	हूँ	0.0000	hũ	hũ	39	2
हे	है	0.0208	heː	hɛː	34	14
हे	हो?	0.0417	heː	hoː	34	2
है	हौ	0.0417	hɛː	hɔː	14	12
है	हि	0.0417	hɛː	hɪ	14	4
हौ	हौँ	0.0417	hɔː	hɔ̃	12	9
हौ	हो?	0.0208	hɔː	hoː	12	2
यो	या	0.0417	joː	jaː	4176	164
यो	यू	0.0417	joː	juː	4176	1
यो	ये	0.0417	joː	jeː	4176	1
यी	यि	0.0417	jiː	jɪ	539	6
यी	यै	0.0417	jiː	jɛː	539	2
यी	ये	0.0208	jiː	jeː	539	1
या	ये	0.0417	jaː	jeː	164	1
यु	यू	0.0208	ju	juː	10	1
यि	यै	0.0417	jɪ	jɛː	6	2
यै	ये	0.0208	jɛː	jeː	2	1
एक	एकै	0.0278	eːkə	eːkɛː	3330	104
एक	एका	0.0417	eːkə	eːkaː	3330	1
एकै	एका	0.0417	eːkɛː	eːkaː	104	1
एम	एन	0.0347	eːmə	eːnə	46	9
एम	एमा	0.0417	eːmə	eːmaː	46	1
एन	एनि	0.0278	eːnə	eːnɪ	9	2
एसी	एशी	0.0278	eːsi	eːʃi	3	1
एसी	एसि	0.0139	eːsi	eːsɪ	3	1
एशी	एसि	0.0417	eːʃi	eːsɪ	1	1
थियो	थियौँ	0.0312	tʰɪjoː	tʰɪjɔ̃	2415	11
थियो	थयो	0.0312	tʰɪjoː	tʰʌjoː	2415	1
थियो	थियो?	0.0000	tʰɪjoː	tʰɪjoː	2415	1
थाहा	थापा	0.0521	tʰaːhaː	tʰaːpaː	215	37
थाहा	थाह	0.0312	tʰaːhaː	tʰaːhə	215	13
थाहा	थाहै	0.0312	tʰaːhaː	tʰaːhɛː	215	11
थाले	थलो	0.0417	tʰaːleː	tʰʌloː	142	9
थाले	थला	0.0417	tʰaːleː	tʰʌlaː	142	5
थाले	थैलो	0.0521	tʰaːleː	tʰɛːloː	142	5
थाले	थालेँ	0.0208	tʰaːleː	tʰaːlẽ	142	3
थाले	थाली	0.0208	tʰaːleː	tʰaːli	142	2
थिइन्	थिइन	0.0000	tʰɪɪn	tʰɪɪn	131	2
थिइन्	थिइँन	0.0208	tʰɪɪn	tʰɪĩn	131	1
थिइन्	थिईन्	0.0104	tʰɪɪn	tʰɪɪːn	131	1
थोरै	थर	0.0417	tʰoːɾɛː	tʰʌɾə	62	59
थोरै	थोर	0.0208	tʰoːɾɛː	tʰoːɾə	62	6
थोरै	थरी	0.0521	tʰoːɾɛː	tʰʌɾi	62	2
थर	थोर	0.0208	tʰʌɾə	tʰoːɾə	59	6
थर	थरी	0.0312	tʰʌɾə	tʰʌɾi	59	2
थापा	थोपा	0.0208	tʰaːpaː	tʰoːpaː	37	13
थापा	थापे	0.0208	tʰaːpaː	tʰaːpeː	37	3
थापा	थाबो	0.0312	tʰaːpaː	tʰaːboː	37	2
थापा	थामा	0.0312	tʰaːpaː	tʰaːmaː	37	2
थारू	थारु	0.0104	tʰaːɾuː	tʰaːɾu	13	9
थारू	थारा	0.0417	tʰaːɾuː	tʰaːɾaː	13	4
थाह	थाहै	0.0208	tʰaːhə	tʰaːhɛː	13	11
थाह	थोक	0.0521	tʰaːhə	tʰoːkə	13	3
थोपा	थोपो	0.0208	tʰoːpaː	tʰoːpoː	13	7
थोपा	थपे	0.0417	tʰoːpaː	tʰʌpeː	13	4
थियौँ	थियो?	0.0312	tʰɪjɔ̃	tʰɪjoː	11	1
थलो	थला	0.0208	tʰʌloː	tʰʌlaː	9	5
थलो	थैलो	0.0312	tʰʌloː	tʰɛːloː	9	5
थलो	थयो	0.0573	tʰʌloː	tʰʌjoː	9	1
थलो	थालौँ	0.0521	tʰʌloː	tʰaːlɔ̃	9	1
थारु	थारा	0.0521	tʰaːɾu	tʰaːɾaː	9	4
थारु	थरी	0.0521	tʰaːɾu	tʰʌɾi	9	2
थामी	थाम	0.0312	tʰaːmi	tʰaːmə	8	5
थामी	थमे	0.0417	tʰaːmi	tʰʌmeː	8	2
थामी	थापी	0.0312	tʰaːmi	tʰaːpi	8	2
थोपो	थोचो	0.0312	tʰoːpoː	tʰoːcoː	7	4
थोपो	थाबो	0.0312	tʰoːpoː	tʰaːboː	7	2
थोर	थरी	0.0521	tʰoːɾə	tʰʌɾi	6	2
थला	थैलो	0.0521	tʰʌlaː	tʰɛːloː	5	5
थला	थाना	0.0521	tʰʌlaː	tʰaːnaː	5	4
थला	थारा	0.0469	tʰʌlaː	tʰaːɾaː	5	4
थाम	थुम	0.0521	tʰaːmə	tʰumə	5	4
थाम	थमे	0.0521	tʰaːmə	tʰʌmeː	5	2
थाम	थामा	0.0312	tʰaːmə	tʰaːmaː	5	2
थाम	थिम	0.0521	tʰaːmə	tʰɪmə	5	2
थपे	थापे	0.0208	tʰʌpeː	tʰaːpeː	4	3
थपे	थमे	0.0312	tʰʌpeː	tʰʌmeː	4	2
थपे	थेबे	0.0312	tʰʌpeː	tʰeːbeː	4	1
थाना	थारा	0.0365	tʰaːnaː	tʰaːɾaː	4	4
थाना	थामा	0.0260	tʰaːnaː	tʰaːmaː	4	2
थुम	थिम	0.0417	tʰumə	tʰɪmə	4	2
थोचो	थोक	0.0417	tʰoːcoː	tʰoːkə	4	3
थोचो	थेगो	0.0417	tʰoːcoː	tʰeːɡoː	4	2
थापे	थाती	0.0469	tʰaːpeː	tʰaːti	3	2
थापे	थापी	0.0208	tʰaːpeː	tʰaːpi	3	2
थापे	थाबो	0.0312	tʰaːpeː	tʰaːboː	3	2
थापे	थेबे	0.0312	tʰaːpeː	tʰeːbeː	3	1
थालेँ	थाली	0.0208	tʰaːlẽ	tʰaːli	3	2
थालेँ	थालौँ	0.0312	tʰaːlẽ	tʰaːlɔ̃	3	1
थमे	थामा	0.0417	tʰʌmeː	tʰaːmaː	2	2
थमे	थेबे	0.0417	tʰʌmeː	tʰeːbeː	2	1
थरी	थाली	0.0469	tʰʌɾi	tʰaːli	2	2
थाती	थापी	0.0260	tʰaːti	tʰaːpi	2	2
थाती	थाली	0.0417	tʰaːti	tʰaːli	2	2
थाली	थालौँ	0.0521	tʰaːli	tʰaːlɔ̃	2	1
थिइन	थिइँन	0.0208	tʰɪɪn	tʰɪĩn	2	1
थिइन	थिईन्	0.0104	tʰɪɪn	tʰɪɪːn	2	1
थयो	थियो?	0.0312	tʰʌjoː	tʰɪjoː	1	1
थिइँन	थिईन्	0.0312	tʰɪĩn	tʰɪɪːn	1	1
यस	यश	0.0278	jʌs	jʌʃ	2414	9
यस	यत	0.0278	jʌs	jʌt	2414	1
यस	यात	0.0556	jʌs	jaːt	2414	1
योग	युग	0.0417	joːɡ	juɡ	46	27
योग	योङ	0.0278	joːɡ	joːŋ	46	2
यौन	यान	0.0417	jɔːn	jaːn	16	9
यौन	येन	0.0417	jɔːn	jeːn	16	2
यौन	यिन	0.0556	jɔːn	jɪn	16	1
याद	यान	0.0278	jaːd	jaːn	14	9
याद	याट	0.0278	jaːd	jaːʈ	14	5
याद	यात	0.0139	jaːd	jaːt	14	1
यश	यत	0.0556	jʌʃ	jʌt	9	1
यान	येन	0.0278	jaːn	jeːn	9	2
यान	यात	0.0417	jaːn	jaːt	9	1
याट	यत	0.0417	jaːʈ	jʌt	5	1
याट	यात	0.0139	jaːʈ	jaːt	5	1
युथ	यत	0.0556	jutʰ	jʌt	3	1
येन	यिन	0.0417	jeːn	jɪn	2	1
येन	येल	0.0417	jeːn	jeːl	2	1
यत	यात	0.0278	jʌt	jaːt	1	1
लागि	लागी	0.0104	laːɡɪ	laːɡi	2345	18
लागि	लगि	0.0208	laːɡɪ	lʌɡɪ	2345	2
लागि	लगी	0.0312	laːɡɪ	lʌɡi	2345	2
लामो	लामा	0.0208	laːmoː	laːmaː	340	73
लामो	लाने	0.0469	laːmoː	laːneː	340	4
लामो	लाभा	0.0521	laːmoː	laːbʰaː	340	3
लामो	लाम	0.0312	laːmoː	laːmə	340	2
लिने	लिमा	0.0469	lɪneː	lɪmaː	78	4
लिने	लेने	0.0312	lɪneː	leːneː	78	2
लिने	लिदा	0.0417	lɪneː	lɪdaː	78	1
लिने	लीले	0.0417	lɪneː	lɪːleː	78	1
लामा	लाने	0.0469	laːmaː	laːneː	73	4
लामा	लिमा	0.0521	laːmaː	lɪmaː	73	4
लामा	लाभा	0.0312	laːmaː	laːbʰaː	73	3
लामा	लाम	0.0312	laːmaː	laːmə	73	2
लिपि	लिची	0.0417	lɪpɪ	lɪci	48	4
लिपि	लिचि	0.0312	lɪpɪ	lɪcɪ	48	2
लिपि	लिबी	0.0208	lɪpɪ	lɪbi	48	1
लागे	लागी	0.0208	laːɡeː	laːɡi	43	18
