pair_id,config,branches,accuracy,macro_f1,brier,ece,kernel
synthetic_pair_0,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999,rbf
synthetic_pair_0,E1,general,0.625,0.6190476190476191,0.2465716683872044,0.1429682610023716,rbf
synthetic_pair_0,E2,cue,0.625,0.6190476190476191,0.2239646592496385,0.157091393649835,rbf
synthetic_pair_0,E3,context,0.6,0.595959595959596,0.2513732570542851,0.0859759801644503,rbf
synthetic_pair_0,E4,general+cue,0.675,0.6731615336266499,0.2109688671797037,0.1174739005772411,rbf
synthetic_pair_0,E5,general+context,0.725,0.7248280175109443,0.21414058432969,0.1551852637386359,rbf
synthetic_pair_0,E6,cue+context,0.575,0.5523370638578011,0.2397580855974064,0.0844784567682558,rbf
synthetic_pair_0,E7,general+cue+context,0.725,0.7234443746071653,0.2040037878320151,0.1536162160918578,rbf
synthetic_pair_1,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,rbf
synthetic_pair_1,E1,general,0.625,0.6131528046421664,0.2392700016617213,0.1236565449605227,rbf
synthetic_pair_1,E2,cue,0.575,0.5682539682539682,0.2212666744917796,0.1442867379901363,rbf
synthetic_pair_1,E3,context,0.425,0.4217473287240729,0.2500001894976463,0.0750008329879632,rbf
synthetic_pair_1,E4,general+cue,0.8,0.797979797979798,0.1629510564029669,0.1542790097780837,rbf
synthetic_pair_1,E5,general+context,0.525,0.5247029393370857,0.2486445798870198,0.1002107274596482,rbf
synthetic_pair_1,E6,cue+context,0.55,0.53125,0.2215022202035428,0.1250095969966498,rbf
synthetic_pair_1,E7,general+cue+context,0.65,0.6464646464646464,0.2067067206488629,0.1074437101292167,rbf
synthetic_pair_2,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999,rbf
synthetic_pair_2,E1,general,0.525,0.5247029393370857,0.2501797512371276,0.216305677423079,rbf
synthetic_pair_2,E2,cue,0.675,0.6731615336266499,0.2062869250172339,0.1986766740254416,rbf
synthetic_pair_2,E3,context,0.55,0.53125,0.2498838863747643,0.0450954086504014,rbf
synthetic_pair_2,E4,general+cue,0.65,0.6464646464646464,0.1932633217699595,0.1221358756446272,rbf
synthetic_pair_2,E5,general+context,0.625,0.6190476190476191,0.2309845072627011,0.1237693098629431,rbf
synthetic_pair_2,E6,cue+context,0.7,0.7,0.2025744288395397,0.1529590608888612,rbf
synthetic_pair_2,E7,general+cue+context,0.775,0.7737272155876807,0.1400977892813384,0.197218844460309,rbf
synthetic_pair_3,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,rbf
synthetic_pair_3,E1,general,0.725,0.7248280175109443,0.2057762698645439,0.136504678951857,rbf
synthetic_pair_3,E2,cue,0.775,0.7748592870544091,0.1630525295005694,0.127813811663357,rbf
synthetic_pair_3,E3,context,0.475,0.4320486815415821,0.2500000356186981,0.0250004100325559,rbf
synthetic_pair_3,E4,general+cue,0.775,0.7737272155876807,0.1371831496357539,0.1534054418434467,rbf
synthetic_pair_3,E5,general+context,0.7,0.7,0.2030925998885949,0.1433156236658746,rbf
synthetic_pair_3,E6,cue+context,0.775,0.7748592870544091,0.1594721284837996,0.0978145500298206,rbf
synthetic_pair_3,E7,general+cue+context,0.775,0.7737272155876807,0.1401974888186759,0.1794607948802393,rbf
synthetic_pair_4,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475,rbf
synthetic_pair_4,E1,general,0.525,0.5099935525467441,0.250473835348541,0.0255672731328616,rbf
synthetic_pair_4,E2,cue,0.725,0.7163120567375887,0.2221865144686962,0.2085597516405144,rbf
synthetic_pair_4,E3,context,0.7,0.6992481203007519,0.1665759304214565,0.1478801860715255,rbf
synthetic_pair_4,E4,general+cue,0.65,0.6464646464646464,0.2368295231155475,0.1870997190834003,rbf
synthetic_pair_4,E5,general+context,0.675,0.6731615336266499,0.2135895160671351,0.1431105895440128,rbf
synthetic_pair_4,E6,cue+context,0.8,0.7994987468671679,0.1454148793692073,0.137307608008515,rbf
synthetic_pair_4,E7,general+cue+context,0.8,0.7994987468671679,0.1585852904954229,0.1950749421598837,rbf
synthetic_pair_5,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45,rbf
synthetic_pair_5,E1,general,0.5,0.4949494949494949,0.2574872087037917,0.1436903791619327,rbf
synthetic_pair_5,E2,cue,0.525,0.5099935525467441,0.2470136379340363,0.0706968767106801,rbf
synthetic_pair_5,E3,context,0.625,0.6131528046421664,0.2501409826255561,0.1479960028607606,rbf
synthetic_pair_5,E4,general+cue,0.65,0.6419437340153453,0.2108532381330546,0.0658039983117747,rbf
synthetic_pair_5,E5,general+context,0.575,0.5725958516656191,0.2623232283977809,0.1803778170120551,rbf
synthetic_pair_5,E6,cue+context,0.55,0.55,0.2569400502150111,0.0991800281750708,rbf
synthetic_pair_5,E7,general+cue+context,0.625,0.6228786926461345,0.2103137826895476,0.095110451595691,rbf
synthetic_pair_6,E0,(none -- majority-class baseline),0.575,0.365079365079365,0.425,0.425,rbf
synthetic_pair_6,E1,general,0.725,0.7163120567375887,0.2137566797498118,0.2346783638577593,rbf
synthetic_pair_6,E2,cue,0.7,0.6992481203007519,0.2529935211729547,0.2129470312161909,rbf
synthetic_pair_6,E3,context,0.825,0.819471308833011,0.1327005983008429,0.1490001061407041,rbf
synthetic_pair_6,E4,general+cue,0.625,0.6190476190476191,0.2385561578291808,0.1214845874847969,rbf
synthetic_pair_6,E5,general+context,0.875,0.871050934880722,0.0996852976444161,0.1223779875732971,rbf
synthetic_pair_6,E6,cue+context,0.85,0.8465473145780051,0.1421698754834491,0.1500562312336994,rbf
synthetic_pair_6,E7,general+cue+context,0.775,0.7714285714285715,0.1444640099746195,0.1757811886436234,rbf
synthetic_pair_7,E0,(none -- majority-class baseline),0.55,0.3548387096774194,0.45,0.45,rbf
