pair_id,config,branches,accuracy,macro_f1,brier,ece
synthetic_pair_0,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999
synthetic_pair_0,E1,general,0.625,0.6190476190476191,0.2465716683872044,0.14296826100237167
synthetic_pair_0,E2,cue,0.625,0.6190476190476191,0.22396465924963857,0.157091393649835
synthetic_pair_0,E3,context,0.6,0.595959595959596,0.25137325705428515,0.08597598016445038
synthetic_pair_0,E4,general+cue,0.675,0.6731615336266499,0.21096886717970378,0.11747390057724118
synthetic_pair_0,E5,general+context,0.725,0.7248280175109443,0.21414058432969005,0.15518526373863595
synthetic_pair_0,E6,cue+context,0.575,0.5523370638578011,0.23975808559740647,0.08447845676825583
synthetic_pair_0,E7,general+cue+context,0.725,0.7234443746071653,0.20400378783201512,0.15361621609185788
synthetic_pair_1,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
synthetic_pair_1,E1,general,0.625,0.6131528046421664,0.23927000166172138,0.12365654496052272
synthetic_pair_1,E2,cue,0.575,0.5682539682539682,0.22126667449177967,0.14428673799013633
synthetic_pair_1,E3,context,0.425,0.42174732872407295,0.2500001894976463,0.07500083298796326
synthetic_pair_1,E4,general+cue,0.8,0.797979797979798,0.1629510564029669,0.15427900977808373
synthetic_pair_1,E5,general+context,0.525,0.5247029393370857,0.24864457988701982,0.10021072745964822
synthetic_pair_1,E6,cue+context,0.55,0.53125,0.22150222020354288,0.12500959699664982
synthetic_pair_1,E7,general+cue+context,0.65,0.6464646464646464,0.20670672064886292,0.10744371012921676
synthetic_pair_2,E0,(none -- majority-class baseline),0.475,0.4584139264990329,0.525,0.5249999999999999
synthetic_pair_2,E1,general,0.525,0.5247029393370857,0.25017975123712766,0.216305677423079
synthetic_pair_2,E2,cue,0.675,0.6731615336266499,0.2062869250172339,0.19867667402544162
synthetic_pair_2,E3,context,0.55,0.53125,0.24988388637476433,0.04509540865040147
synthetic_pair_2,E4,general+cue,0.65,0.6464646464646464,0.19326332176995958,0.12213587564462726
synthetic_pair_2,E5,general+context,0.625,0.6190476190476191,0.2309845072627011,0.1237693098629431
synthetic_pair_2,E6,cue+context,0.7,0.7,0.20257442883953977,0.15295906088886124
synthetic_pair_2,E7,general+cue+context,0.775,0.7737272155876807,0.14009778928133848,0.19721884446030902
synthetic_pair_3,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
synthetic_pair_3,E1,general,0.725,0.7248280175109443,0.20577626986454395,0.13650467895185703
synthetic_pair_3,E2,cue,0.775,0.7748592870544091,0.16305252950056942,0.12781381166335704
synthetic_pair_3,E3,context,0.475,0.43204868154158216,0.2500000356186981,0.025000410032555986
synthetic_pair_3,E4,general+cue,0.775,0.7737272155876807,0.13718314963575393,0.1534054418434467
synthetic_pair_3,E5,general+context,0.7,0.7,0.2030925998885949,0.1433156236658746
synthetic_pair_3,E6,cue+context,0.775,0.7748592870544091,0.1594721284837996,0.0978145500298206
synthetic_pair_3,E7,general+cue+context,0.775,0.7737272155876807,0.1401974888186759,0.17946079488023936
synthetic_pair_4,E0,(none -- majority-class baseline),0.525,0.3442622950819672,0.475,0.475
